Volt,Frequency,S21,S31
4,811.81,-1.280,-14.136
4,817.09,-1.280,-14.028
4,822.36,-1.288,-13.916
4,827.63,-1.244,-13.832
4,832.9,-1.208,-13.660
4,838.18,-1.184,-13.508
4,843.45,-1.136,-13.364
4,848.72,-1.036,-13.148
4,854,-1.020,-12.992
4,859.27,-1.028,-12.900
4,864.54,-0.920,-12.716
4,869.81,-0.916,-12.620
4,875.09,-0.900,-12.448
4,880.36,-0.832,-12.308
4,885.63,-0.836,-12.292
4,890.9,-0.816,-12.120
4,896.18,-0.860,-12.104
4,901.45,-0.904,-12.044
4,906.72,-0.920,-11.956
4,912,-0.908,-11.824
4,917.27,-0.912,-11.680
4,922.54,-0.988,-11.696
4,927.81,-0.960,-11.604
4,933.09,-0.984,-11.564
4,938.36,-0.948,-11.468
4,943.63,-0.980,-11.488
4,948.9,-1.008,-11.476
4,954.18,-1.012,-11.436
4,959.45,-1.080,-11.376
4,964.72,-1.128,-11.320
4,970,-1.148,-11.252
4,975.27,-1.236,-11.252
4,980.54,-1.260,-11.244
4,985.81,-1.288,-11.240
4,991.09,-1.300,-11.392
4,996.36,-1.348,-11.496
5,500.72,-0.664,-25.604
5,506,-0.676,-25.056
5,511.27,-0.704,-24.648
5,516.54,-0.800,-24.068
5,521.81,-0.792,-23.344
5,527.09,-0.856,-22.776
5,532.36,-0.916,-22.256
5,537.63,-0.948,-21.696
5,542.9,-1.004,-21.260
5,548.18,-1.048,-20.840
5,553.45,-1.040,-20.628
5,558.72,-1.084,-20.200
5,564,-1.084,-19.740
5,569.27,-1.068,-19.608
5,574.54,-1.052,-19.244
5,579.81,-1.028,-18.948
5,585.09,-0.984,-18.588
5,590.36,-0.924,-18.180
5,595.63,-0.904,-17.924
5,600.9,-0.832,-17.616
5,606.18,-0.764,-17.344
5,611.45,-0.764,-17.084
5,616.72,-0.704,-16.872
5,0.622,-0.672,-16.620
5,627.27,-0.656,-16.472
5,632.54,-0.624,-16.324
5,637.81,-0.640,-16.096
5,643.09,-0.640,-15.988
5,648.36,-0.656,-15.776
5,653.63,-0.672,-15.644
5,658.9,-0.688,-15.416
5,664.18,-0.712,-15.208
5,669.45,-0.692,-15.112
5,674.72,-0.736,-14.924
5,680,-0.748,-14.724
5,685.27,-0.776,-14.580
5,690.54,-0.808,-14.368
5,695.81,-0.856,-14.268
5,701.09,-0.912,-14.288
5,706.36,-0.948,-14.412
5,711.63,-0.992,-14.800
5,716.9,-1.016,-15.472
5,722.18,-1,-16.128
5,727.45,-0.956,-16.652
